DATE,DESCIPTION,DEBIT,CREDIT,BALANCE
12/17/2024,LN PYMT   *022973402,611.83,,38.17
12/17/2024,RP331 TFR-TO C/C,28.17,,10
12/17/2024,LOAN INSURANCE PREM,44.45,,-34.45
12/18/2024,PROVINCE OF B.C  PRO,,52,17.55
12/20/2024,JQ340 TFR-TO C/C,17.55,,0
12/24/2024,E-TRANSFER ***NDp,,130.72,130.72
12/30/2024,E-TRANSFER ***fhh,,75,205.72
12/30/2024,SEND E-TFR ***B2G,200,,5.72
12/30/2024,RL001 TFR-FR C/C,,100,105.72
12/30/2024,RL094 TFR-FR C/C,,50,155.72
12/30/2024,SEND E-TFR ***WER,125,,30.72
12/31/2024,OVERDRAFT INTEREST,0.03,,30.69
12/31/2024,MONTHLY ACCOUNT FEE,3.95,,26.74
1/3/2025,E-TRANSFER ***8ZD,,500,526.74
1/3/2025,JH163 TFR-TO C/C,501.74,,25
1/3/2025,JH200 TFR-TO C/C,10,,15
1/6/2025,E-TRANSFER ***WcE,,601.85,616.85
1/13/2025,WALMART STORE #   _F,149.99,,466.86
1/13/2025,WALMART STORE #,247.15,,219.71
1/13/2025,SEND E-TFR ***s3j,169.71,,50
1/13/2025,SEND E-TFR FEE,1,,49
1/14/2025,E-TRANSFER ***RdR,,136.16,185.16
1/14/2025,WQ290 TFR-TO C/C,135.16,,50
1/15/2025,PROVINCE OF B.C  PRO,,52,102
1/17/2025,E-TRANSFER ***zPh,,528,630
1/17/2025,E-TRANSFER ***5d7,,222,852
1/17/2025,JO020 TFR-TO C/C,232,,620
1/20/2025,LN PYMT   *022973402,613.24,,6.76
1/20/2025,LOAN INSURANCE PREM,44.45,,-37.69
1/20/2025,RZ473 TFR-FR C/C,,200,162.31
1/20/2025,SEND E-TFR ***EY5,150,,12.31
1/20/2025,SEND E-TFR FEE,1,,11.31
1/27/2025,LW363 TFR-FR C/C,,200,211.31
1/27/2025,SEND E-TFR ***CQD,155,,56.31
1/28/2025,E-TRANSFER ***7N2,,640,696.31
1/28/2025,WQ311 TFR-TO C/C,299.31,,397
1/31/2025,MONTHLY ACCOUNT FEE,3.95,,393.05
2/3/2025,UO423 TFR-TO C/C,122.97,,270.08
2/10/2025,SEND E-TFR ***3CS,150,,120.08
2/10/2025,SEND E-TFR FEE,1,,119.08
2/13/2025,SEND E-TFR ***6sH,89.08,,30
2/13/2025,SEND E-TFR FEE,0.5,,29.5
2/14/2025,E-TRANSFER ***2jp,,940,969.5
2/14/2025,JR313 TFR-TO C/C,400,,569.5
2/14/2025,E-TRANSFER ***dSs,,150,719.5
2/14/2025,JU161 TFR-TO C/C,69.5,,650
2/18/2025,LN PYMT   *022973402,613.24,,36.76
2/18/2025,LOAN INSURANCE PREM,44.45,,-7.69
2/19/2025,PROVINCE OF B.C  PRO,,1515.5,1507.81
